size time error 
0 11.590012788772583 1.2753997136419788
1 49.57571268081665 2.9421453911747677
2 120.18913960456848 0.012417473095673643
3 120.19502210617065 0.013427648760782751
4 120.21034979820251 0.011034044940152057
5 120.2243481874466 0.02317891221965724
6 120.24948167800903 0.003844804108557797
7 120.20237362384796 0.024128396422910658
8 120.41715836524963 0.33722468995578914
9 120.20015156269073 0.016246598576585388
10 120.17337501049042 0.0003771300004754798
