size time error
4 17.240042161941528 5.257630967348827
6 102.16558253765106 11.926358861796375
8 120.0255476474762 0.0032625275433017
10 120.03014724254608 0.004282402298770345
12 120.01404151916503 0.0009313104640681916
14 120.01815483570098 0.001132900839068531
16 120.0204793214798 0.0025550463898484795
18 120.01793158054352 0.0015610638266989614
20 120.01647891998292 0.0009984694357866846
22 120.01232674121857 0.0007633391461278107
24 120.01428010463715 0.0014944200528799376
26 120.01460802555084 0.0012342350465453851
28 120.01196274757385 0.00049754790654305
30 120.00736999511719 0.000575277961399893
