size time error
4 53.341823482513426 0.22463455049383516
6 53.88432426452637 0.14653943214575244
8 53.62597634792328 0.10024351579773341
10 53.48735733032227 0.14851267190588135
12 53.76404848098755 0.10948494830465584
14 53.62121784687042 0.07535431412465715
16 53.74410948753357 0.08455775223328278
18 51.01264441013336 0.894607023431045
20 49.713561749458314 0.6322022024075244
22 51.70110030174256 0.6463573742916012
24 51.535402750968935 0.43992165053859134
26 51.533088779449464 0.08199511493011437
28 51.66646268367767 0.16638226738928313
30 49.42270886898041 0.6198164270887074
