size time error
4 2.731164073944092 0.8373535241302347
6 3.455586004257202 1.0936519784611585
8 4.87181327342987 0.9355198888738602
10 4.43780562877655 0.9873714166386248
12 5.306302642822265 0.6701736161745645
14 6.472505712509156 0.9939328202424195
16 6.591224217414856 0.8119163902658182
18 7.6610465288162235 1.664706468666661
20 7.327601742744446 1.1174478526637959
22 10.5541827917099 1.0826809264369521
24 12.127663826942443 0.2514122565157025
26 10.249355363845826 1.5775087560504453
28 9.571466255187989 1.8601981689374902
30 11.172503328323364 0.6256977562322648
