size time error
4 0.4179622888565063 0.014163693897132297
6 0.42339377403259276 0.01191129372209837
8 0.4394554376602173 0.013755672371104281
10 0.46069884300231934 0.015923669023776135
12 1.6057679891586303 0.7736372225177882
14 6.999472737312317 1.9904804115907335
16 24.08542928695679 11.629226990412269
18 49.021391701698306 19.328076589777535
20 83.01072051525117 15.281656775797984
22 109.88862352371216 8.136911228062658
24 108.04800860881805 11.963477950964062
26 96.07612228393555 15.956720840219711
28 96.08241777420044 15.952361980909867
30 120.01067695617675 0.00029745169663597596
