size time error
4 6.100281310081482 1.9883743725680951
6 43.0618153333664 13.540411444508146
8 79.7089788198471 13.8174178642864
10 89.00167405605316 11.707645905233456
12 118.62502417564392 1.3838171625583902
14 108.05720863342285 7.19934144838809
16 120.00932021141053 0.0003757503529462763
18 120.00971438884736 0.0005984042511929765
20 120.00765972137451 0.0004627673513517671
22 120.0109670639038 0.0007031351574796508
24 120.01049947738647 0.0007692331204902302
26 120.00959770679474 0.00017238549227595725
28 120.0105272769928 0.00047695070106994165
30 120.00825316905976 0.0007770411313973928
