size time error
4 0.43611884117126465 0.004552489289386115
6 0.43924105167388916 0.0049722676211761225
8 0.44152395725250243 0.004169510423287622
10 0.43819940090179443 0.012542775912139665
12 1.475687313079834 0.7461206208925254
14 7.079836392402649 2.0185159873881093
16 24.04875819683075 11.591902654781856
18 49.149772596359256 19.297418822181317
20 88.85986824035645 14.301515792436927
22 109.9466766357422 8.01120379145012
24 108.05226602554322 11.956152670174218
26 96.08167805671692 15.950761585575814
28 96.07350399494172 15.956167945240123
30 120.00708158016205 0.00026668230456185546
