size time error
4 7.755256271362304 1.916027321602491
6 8.814332699775695 2.40220433674244
8 12.71292028427124 2.2735923612420583
10 11.41977014541626 2.506466877420064
12 12.710736203193665 2.000278742268884
14 13.539687657356263 2.2192391298431984
16 12.089743494987488 1.7650453066898981
18 12.679412722587585 2.7732147705075865
20 11.012627243995667 1.9689839023782427
22 14.286598396301269 1.6562779598813868
24 16.382396125793456 1.2962689943437364
26 11.318893790245056 2.052954590058708
28 11.328481841087342 2.493884836082477
30 14.042114901542664 0.07673934949544463
